GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
5294	8.05e-40	2.20e-42	0.79	13.643872	10.775929	342.17	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
2357	8.92e-40	2.47e-42	0.644	13.635345	8.783083	717.79	FPR1	formyl peptide receptor 1
7163	1.08e-39	3.04e-42	0.392	13.620191	5.33546	764.96	TPD52	tumor protein D52
695	1.27e-39	3.60e-42	0.514	13.607797	6.99672	181.22	BTK	Bruton tyrosine kinase
149297	2.15e-39	6.19e-42	0.508	13.56812	6.893744	178.04	FAM78B	family with sequence similarity 78 member B
4332	2.34e-39	6.83e-42	0.831	13.56092	11.273907	292.89	MNDA	myeloid cell nuclear differentiation antigen
3687	3.52e-39	1.04e-41	0.747	13.530053	10.108277	430.1	ITGAX	integrin subunit alpha X
2628	4.07e-39	1.22e-41	0.482	13.518362	6.521525	3380.72	GATM	glycine amidinotransferase
2857	4.54e-39	1.38e-41	0.497	13.509424	6.709107	932.33	GPR34	G protein-coupled receptor 34
313	6.53e-39	2.01e-41	0.49	13.481635	6.603161	348.61	AOAH	acyloxyacyl hydrolase
114548	9.79e-39	3.04e-41	0.453	13.450906	6.097907	184.45	NLRP3	NLR family pyrin domain containing 3
27128	2.19e-38	6.87e-41	0.677	13.390467	9.071528	302.81	CYTH4	cytohesin 4
55803	2.28e-38	7.25e-41	0.4	13.386517	5.352267	467.14	ADAP2	ArfGAP with dual PH domains 2
3040	5.66e-38	1.82e-40	0.861	13.317769	11.463048	1112.25	HBA2	hemoglobin subunit alpha 2
140	1.13e-37	3.68e-40	0.841	13.265292	11.15539	346.53	ADORA3	adenosine A3 receptor
1230	1.26e-37	4.15e-40	0.617	13.256226	8.180428	334.41	CCR1	C-C motif chemokine receptor 1
2209	1.85e-37	6.16e-40	0.492	13.226611	6.507038	440.59	FCGR1A	Fc gamma receptor Ia
54518	1.91e-37	6.45e-40	0.831	13.223185	10.983456	395.22	APBB1IP	amyloid beta precursor protein binding family B member 1 interacting protein
11006	5.49e-37	1.87e-39	0.815	13.142789	10.708023	520.13	LILRB4	leukocyte immunoglobulin like receptor B4
83483	5.73e-37	1.98e-39	0.561	13.138683	7.364686	216.15	PLVAP	plasmalemma vesicle associated protein
84966	6.05e-37	2.11e-39	0.799	13.133742	10.49103	170.19	IGSF21	immunoglobin superfamily member 21
7409	8.24e-37	2.91e-39	0.822	13.109476	10.775464	207.67	VAV1	vav guanine nucleotide exchange factor 1
51284	1.70e-36	6.05e-39	0.86	13.053773	11.232264	284.68	TLR7	toll like receptor 7
114786	1.99e-36	7.16e-39	0.609	13.040958	7.937357	359.87	XKR4	XK related 4
57795	2.01e-36	7.33e-39	0.569	13.039108	7.423528	624.52	BRINP2	BMP/retinoic acid inducible neural specific 2
7940	2.64e-36	9.71e-39	0.563	13.017697	7.330235	162.01	LST1	leukocyte specific transcript 1
100049587	2.67e-36	9.91e-39	0.559	13.016078	7.276268	190.51	SIGLEC14	sialic acid binding Ig like lectin 14
3587	5.17e-36	1.94e-38	0.856	12.964756	11.099604	428.22	IL10RA	interleukin 10 receptor subunit alpha
491	7.05e-36	2.67e-38	0.597	12.940152	7.726659	853.13	ATP2B2	ATPase plasma membrane Ca2+ transporting 2
23601	1.01e-35	3.86e-38	0.667	12.911927	8.609291	277.58	CLEC5A	C-type lectin domain containing 5A
64092	1.03e-35	3.99e-38	0.789	12.909215	10.1859	472.85	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1
1436	2.28e-35	8.92e-38	0.47	12.847185	6.032059	2290.09	CSF1R	colony stimulating factor 1 receptor
10859	2.35e-35	9.27e-38	0.832	12.844166	10.683811	194.85	LILRB1	leukocyte immunoglobulin like receptor B1
79742	2.36e-35	9.40e-38	0.506	12.843107	6.49894	130.66	DIPK2B	divergent protein kinase domain 2B
6280	3.07e-35	1.23e-37	0.983	12.822145	12.598603	733.99	S100A9	S100 calcium binding protein A9
55843	3.07e-35	1.25e-37	0.628	12.821294	8.05479	165.01	ARHGAP15	Rho GTPase activating protein 15
4688	3.16e-35	1.30e-37	0.43	12.818303	5.514105	354.6	NCF2	neutrophil cytosolic factor 2
25924	3.29e-35	1.36e-37	0.465	12.81467	5.957251	242.36	MYRIP	myosin VIIA and Rab interacting protein
3936	5.69e-35	2.37e-37	0.494	12.771293	6.307198	1216.15	LCP1	lymphocyte cytosolic protein 1
4703	7.17e-35	3.02e-37	0.288	12.752519	3.674012	522.77	NEB	nebulin
3683	7.34e-35	3.11e-37	0.466	12.750067	5.943078	178.94	ITGAL	integrin subunit alpha L
53829	7.81e-35	3.35e-37	0.463	12.744494	5.895909	204.06	P2RY13	purinergic receptor P2Y13
8477	9.43e-35	4.07e-37	0.635	12.729103	8.079819	253.96	GPR65	G protein-coupled receptor 65
150622	1.05e-34	4.58e-37	0.616	12.719982	7.833371	372.04	SILC1	sciatic injury induced lincRNA upregulator of SOX11
4137	1.07e-34	4.72e-37	0.384	12.717587	4.878905	1435.14	MAPT	microtubule associated protein tau
27180	1.22e-34	5.40e-37	0.83	12.70705	10.544376	176.82	SIGLEC9	sialic acid binding Ig like lectin 9
105369388	1.34e-34	6.00e-37	0.811	12.698849	10.304353	149.77	LOC105369388	uncharacterized LOC105369388
2359	1.44e-34	6.50e-37	0.566	12.692573	7.184706	291.5	FPR3	formyl peptide receptor 3
8792	1.55e-34	7.05e-37	0.49	12.686276	6.221708	151.17	TNFRSF11A	TNF receptor superfamily member 11a
27181	2.17e-34	9.93e-37	0.893	12.659368	11.308051	300.15	SIGLEC8	sialic acid binding Ig like lectin 8
6916	2.18e-34	1.01e-36	0.384	12.65805	4.855423	444.28	TBXAS1	thromboxane A synthase 1
7100	3.60e-34	1.68e-36	0.555	12.618066	7.0012	167.99	TLR5	toll like receptor 5
2210	4.72e-34	2.22e-36	0.549	12.596133	6.916563	129.81	FCGR1BP	Fc gamma receptor Ib, pseudogene
348751	4.98e-34	2.36e-36	0.359	12.59127	4.525354	234.22	FTCDNL1	formiminotransferase cyclodeaminase N-terminal like
116154	5.16e-34	2.46e-36	0.65	12.587802	8.181578	318.18	PHACTR3	phosphatase and actin regulator 3
51338	8.68e-34	4.18e-36	0.695	12.546088	8.723648	363.16	MS4A4A	membrane spanning 4-domains A4A
7122	1.17e-33	5.68e-36	0.481	12.521765	6.023001	317.7	CLDN5	claudin 5
9450	1.33e-33	6.52e-36	0.834	12.510748	10.430224	163.13	LY86	lymphocyte antigen 86
2268	1.96e-33	9.67e-36	0.807	12.479397	10.075392	163.97	FGR	FGR proto-oncogene, Src family tyrosine kinase
6768	3.20e-33	1.59e-35	0.585	12.439913	7.280204	247.44	ST14	ST14 transmembrane serine protease matriptase
64407	3.51e-33	1.75e-35	0.833	12.431875	10.360412	155.49	RGS18	regulator of G protein signaling 18
7454	3.91e-33	1.97e-35	0.442	12.422536	5.486271	177.13	WAS	WASP actin nucleation promoting factor
167465	4.21e-33	2.14e-35	0.402	12.416122	4.985282	81.06	ZNF366	zinc finger protein 366
161198	8.97e-33	4.59e-35	0.61	12.354797	7.536227	104.24	CLEC14A	C-type lectin domain containing 14A
4069	1.43e-32	7.39e-35	0.875	12.316396	10.770821	697.1	LYZ	lysozyme
942	2.31e-32	1.20e-34	0.816	12.27731	10.021404	324.49	CD86	CD86 molecule
4542	2.36e-32	1.23e-34	0.366	12.275135	4.489765	480.93	MYO1F	myosin IF
54502	2.78e-32	1.47e-34	0.383	12.261021	4.693429	402.83	RBM47	RNA binding motif protein 47
2215	2.91e-32	1.55e-34	0.882	12.256719	10.816543	213.43	FCGR3B	Fc gamma receptor IIIb
4647	3.13e-32	1.67e-34	0.389	12.250457	4.762031	302.65	MYO7A	myosin VIIA
57413	3.73e-32	2.01e-34	0.84	12.235524	10.274169	397.67	TMIGD3	transmembrane and immunoglobulin domain containing 3
6556	3.99e-32	2.16e-34	0.531	12.229415	6.489873	724.54	SLC11A1	solute carrier family 11 member 1
64581	4.80e-32	2.62e-34	0.799	12.213875	9.753464	270.91	CLEC7A	C-type lectin domain containing 7A
2353	5.51e-32	3.03e-34	0.358	12.202072	4.371411	3497.28	FOS	Fos proto-oncogene, AP-1 transcription factor subunit
6886	5.76e-32	3.19e-34	0.606	12.197912	7.391962	124.64	TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor
9103	6.24e-32	3.48e-34	0.732	12.190868	8.919228	270.88	FCGR2C	Fc gamma receptor IIc (gene/pseudogene)
7414	6.33e-32	3.55e-34	0.304	-12.189219	-3.709003	5083.22	VCL	vinculin
3394	1.11e-31	6.29e-34	0.821	12.142445	9.964779	195.05	IRF8	interferon regulatory factor 8
10863	1.65e-31	9.37e-34	0.488	12.109792	5.908372	433.36	ADAM28	ADAM metallopeptidase domain 28
51411	3.68e-31	2.10e-33	0.794	12.043313	9.55883	188.94	BIN2	bridging integrator 2
155038	3.86e-31	2.22e-33	0.798	12.038801	9.611684	195.94	GIMAP8	GTPase, IMAP family member 8
84962	3.91e-31	2.27e-33	0.315	-12.037174	-3.785847	502.96	AJUBA	ajuba LIM protein
100533990	3.95e-31	2.31e-33	0.657	12.035734	7.912306	247.72	APOC4-APOC2	APOC4-APOC2 readthrough (NMD candidate)
101927646	4.77e-31	2.80e-33	0.651	12.019561	7.821517	247.43	LOC101927646	uncharacterized LOC101927646
4504	4.93e-31	2.91e-33	0.561	12.016386	6.739557	2019.1	MT3	metallothionein 3
123036	7.78e-31	4.63e-33	0.623	11.978055	7.465669	207.39	TC2N	tandem C2 domains, nuclear
105369828	8.15e-31	4.88e-33	0.358	11.973668	4.291584	57.25	LOC105369828	uncharacterized LOC105369828
5027	1.09e-30	6.56e-33	0.373	11.949125	4.454457	525.62	P2RX7	purinergic receptor P2X 7
23533	1.17e-30	7.07e-33	0.491	11.942954	5.862026	279.96	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5
6039	1.38e-30	8.45e-33	0.57	11.928104	6.799523	235.57	RNASE6	ribonuclease A family member k6
10993	1.72e-30	1.05e-32	0.467	11.909662	5.565847	79.46	SDS	serine dehydratase
202333	1.87e-30	1.16e-32	0.479	11.901481	5.69885	816.4	CMYA5	cardiomyopathy associated 5
255877	1.87e-30	1.17e-32	0.479	11.901292	5.699441	87.74	BCL6B	BCL6B transcription repressor
4360	3.23e-30	2.02e-32	0.877	11.855236	10.398939	446.79	MRC1	mannose receptor C-type 1
4033	4.41e-30	2.77e-32	0.38	11.828673	4.497096	135.84	IRAG2	inositol 1,4,5-triphosphate receptor associated 2
102724380	4.90e-30	3.10e-32	0.555	11.819397	6.556392	90.34	LINC02316	long intergenic non-protein coding RNA 2316
2681	6.46e-30	4.11e-32	0.615	11.795582	7.25932	184.5	GGTA1	glycoprotein alpha-galactosyltransferase 1 (inactive)
2769	6.90e-30	4.42e-32	0.541	11.789591	6.384018	106.18	GNA15	G protein subunit alpha 15
84239	7.36e-30	4.74e-32	0.503	11.783563	5.925986	1395.6	ATP13A4	ATPase 13A4
2213	8.35e-30	5.41e-32	0.914	11.772446	10.755366	262.73	FCGR2B	Fc gamma receptor IIb
4689	1.16e-29	7.56e-32	0.831	11.744201	9.761884	132.3	NCF4	neutrophil cytosolic factor 4
64805	1.38e-29	9.07e-32	0.633	11.72879	7.422971	580.69	P2RY12	purinergic receptor P2Y12
170575	2.14e-29	1.41e-31	0.816	11.691378	9.54053	88.52	GIMAP1	GTPase, IMAP family member 1
9935	2.16e-29	1.43e-31	0.543	11.690142	6.344391	1043.41	MAFB	MAF bZIP transcription factor B
100996570	2.57e-29	1.72e-31	0.556	11.674749	6.494006	121.51	NFIA-AS2	NFIA antisense RNA 2
8534	2.79e-29	1.87e-31	0.513	11.667447	5.982669	255.55	CHST1	carbohydrate sulfotransferase 1
100527949	3.44e-29	2.32e-31	0.812	11.649042	9.463445	107.38	GIMAP1-GIMAP5	GIMAP1-GIMAP5 readthrough
55365	4.28e-29	2.90e-31	0.817	11.629965	9.506492	342.27	TMEM176A	transmembrane protein 176A
100132417	5.12e-29	3.49e-31	0.592	11.614111	6.870005	116.74	FCGR1CP	Fc gamma receptor Ic, pseudogene
6261	5.46e-29	3.74e-31	0.45	11.6082	5.219169	301.87	RYR1	ryanodine receptor 1
4057	5.80e-29	4.00e-31	1.037	11.602564	12.028686	2413.42	LTF	lactotransferrin
2124	1.15e-28	7.98e-31	0.422	11.543305	4.86565	359.03	EVI2B	ecotropic viral integration site 2B
3479	1.16e-28	8.11e-31	0.476	11.541902	5.48888	204.88	IGF1	insulin like growth factor 1
55806	1.20e-28	8.44e-31	0.523	11.538443	6.029119	214.65	HR	HR lysine demethylase and nuclear receptor corepressor
3781	1.48e-28	1.05e-30	0.58	11.520076	6.676076	173.91	KCNN2	potassium calcium-activated channel subfamily N member 2
168537	1.78e-28	1.27e-30	0.804	11.503495	9.249584	72.08	GIMAP7	GTPase, IMAP family member 7
728	1.78e-28	1.27e-30	0.585	11.503605	6.726308	341.21	C5AR1	complement C5a receptor 1
10261	1.95e-28	1.40e-30	0.336	11.494948	3.861396	301.13	IGSF6	immunoglobulin superfamily member 6
344	2.00e-28	1.44e-30	0.745	11.492607	8.556899	243.73	APOC2	apolipoprotein C2
163702	2.16e-28	1.56e-30	0.641	11.485471	7.367722	95.06	IFNLR1	interferon lambda receptor 1
944	2.16e-28	1.57e-30	0.6	11.484981	6.885295	121.65	TNFSF8	TNF superfamily member 8
2039	2.59e-28	1.89e-30	0.541	11.468724	6.205949	301.54	DMTN	dematin actin binding protein
84249	3.37e-28	2.48e-30	0.472	11.445377	5.40746	729.94	PSD2	pleckstrin and Sec7 domain containing 2
100526771	3.42e-28	2.53e-30	0.829	11.443812	9.48474	108.88	SMIM35	small integral membrane protein 35
127254	3.64e-28	2.70e-30	0.591	11.437973	6.765554	184.91	ERICH3	glutamate rich 3
3059	4.21e-28	3.14e-30	0.485	11.424893	5.536894	647.48	HCLS1	hematopoietic cell-specific Lyn substrate 1
100507412	4.61e-28	3.46e-30	0.656	11.416412	7.484978	1053.26	LOC100507412	uncharacterized LOC100507412
100132202	4.79e-28	3.61e-30	2.026	11.412674	23.125901	24.33	GOLGA6L25	golgin A6 family like 25
55340	4.81e-28	3.64e-30	0.811	11.411972	9.256251	93	GIMAP5	GTPase, IMAP family member 5
64926	5.75e-28	4.38e-30	0.5	11.395988	5.700479	94.91	RASAL3	RAS protein activator like 3
11027	6.99e-28	5.35e-30	0.803	11.378522	9.138014	85.64	LILRA2	leukocyte immunoglobulin like receptor A2
341	7.94e-28	6.11e-30	0.489	11.366992	5.557847	988.83	APOC1	apolipoprotein C1
202309	8.45e-28	6.53e-30	0.839	11.361089	9.533923	87.66	GAPT	GRB2 binding adaptor protein, transmembrane
6348	9.56e-28	7.43e-30	0.898	11.349826	10.18725	137.87	CCL3	C-C motif chemokine ligand 3
90865	9.57e-28	7.47e-30	0.61	11.349374	6.920337	591.73	IL33	interleukin 33
9457	1.16e-27	9.10e-30	0.618	11.332091	7.003366	85.94	FHL5	four and a half LIM domains 5
80704	1.18e-27	9.33e-30	0.4	11.329917	4.527671	86.07	SLC19A3	solute carrier family 19 member 3
245	1.37e-27	1.08e-29	0.388	11.316916	4.388693	58.74	ALOX12P2	arachidonate 12-lipoxygenase pseudogene 2
2791	1.84e-27	1.46e-29	0.338	-11.29048	-3.810787	699.53	GNG11	G protein subunit gamma 11
10215	2.28e-27	1.82e-29	0.59	11.271051	6.64443	769.24	OLIG2	oligodendrocyte transcription factor 2
129684	4.14e-27	3.33e-29	0.75	11.21794	8.415643	362.46	CNTNAP5	contactin associated protein family member 5
147138	5.64e-27	4.55e-29	0.469	11.190207	5.247514	97.23	TMC8	transmembrane channel like 8
3310	8.18e-27	6.63e-29	0.615	11.156788	6.864286	273.19	HSPA6	heat shock protein family A (Hsp70) member 6
3293	8.71e-27	7.09e-29	0.432	11.150824	4.815164	51.7	HSD17B3	hydroxysteroid 17-beta dehydrogenase 3
11024	9.13e-27	7.48e-29	0.809	11.146164	9.019721	61.37	LILRA1	leukocyte immunoglobulin like receptor A1
6279	1.94e-26	1.60e-28	1.02	11.078249	11.296469	297.59	S100A8	S100 calcium binding protein A8
126364	2.00e-26	1.66e-28	0.57	11.075172	6.316651	158.11	LRRC25	leucine rich repeat containing 25
114	2.02e-26	1.67e-28	0.55	11.074204	6.09099	484.51	ADCY8	adenylate cyclase 8
57121	2.12e-26	1.77e-28	0.485	11.069149	5.366992	174.45	LPAR5	lysophosphatidic acid receptor 5
1573	2.32e-26	1.95e-28	0.572	11.060705	6.328552	180.35	CYP2J2	cytochrome P450 family 2 subfamily J member 2
2224	2.42e-26	2.03e-28	0.208	-11.056717	-2.298387	826.28	FDPS	farnesyl diphosphate synthase
72	3.17e-26	2.68e-28	0.688	-11.031986	-7.593904	1691.34	ACTG2	actin gamma 2, smooth muscle
154091	3.43e-26	2.91e-28	0.389	-11.024508	-4.283706	509.48	SLC2A12	solute carrier family 2 member 12
4336	3.46e-26	2.95e-28	1.087	11.02336	11.979912	1309.48	MOBP	myelin associated oligodendrocyte basic protein
101927468	3.63e-26	3.11e-28	0.433	11.018624	4.771373	48	LOC101927468	uncharacterized LOC101927468
84287	3.76e-26	3.24e-28	0.193	-11.014978	-2.130781	376.73	ZDHHC16	zinc finger DHHC-type palmitoyltransferase 16
1234	4.94e-26	4.27e-28	0.841	10.990089	9.247705	72.21	CCR5	C-C motif chemokine receptor 5
100505702	5.41e-26	4.70e-28	0.539	10.9814	5.919379	791.43	LINC01094	long intergenic non-protein coding RNA 1094
112268271	7.05e-26	6.14e-28	0.614	10.95711	6.731354	85.9	LOC112268271	translation initiation factor IF-2
285141	8.14e-26	7.13e-28	0.459	10.943627	5.022909	76.79	ERICH2	glutamate rich 2
25911	8.37e-26	7.36e-28	0.173	-10.940764	-1.89573	172.58	DPCD	deleted in primary ciliary dyskinesia homolog (mouse)
4099	9.23e-26	8.15e-28	1.061	10.931452	11.594431	603.34	MAG	myelin associated glycoprotein
4821	9.67e-26	8.58e-28	0.8	10.926859	8.738668	137.09	NKX2-2	NK2 homeobox 2
27306	9.75e-26	8.69e-28	0.53	10.925705	5.792804	78.59	HPGDS	hematopoietic prostaglandin D synthase
2587	1.01e-25	9.03e-28	0.709	10.922206	7.742607	237.56	GALR1	galanin receptor 1
84631	1.07e-25	9.60e-28	0.521	10.916632	5.69274	505.06	SLITRK2	SLIT and NTRK like family member 2
8537	1.09e-25	9.80e-28	0.747	10.914707	8.151105	1390.07	BCAS1	brain enriched myelin associated protein 1
6351	1.32e-25	1.20e-27	0.867	10.896662	9.447035	82.43	CCL4	C-C motif chemokine ligand 4
388336	1.43e-25	1.30e-27	0.815	10.889078	8.870721	185.43	SHISA6	shisa family member 6
170371	1.59e-25	1.45e-27	0.641	10.879005	6.97297	75.91	TMEM273	transmembrane protein 273
29887	1.84e-25	1.69e-27	0.548	10.865266	5.957044	734.33	SNX10	sorting nexin 10
5175	2.71e-25	2.50e-27	0.422	10.829452	4.567235	1213.63	PECAM1	platelet and endothelial cell adhesion molecule 1
83876	2.76e-25	2.55e-27	0.485	10.827446	5.249102	592.1	MRO	maestro
10319	2.86e-25	2.65e-27	0.472	10.823841	5.10633	192.11	LAMC3	laminin subunit gamma 3
2350	3.14e-25	2.93e-27	0.92	10.814851	9.944645	192.26	FOLR2	folate receptor beta
3762	3.46e-25	3.24e-27	0.491	10.805609	5.301637	112.49	KCNJ5	potassium inwardly rectifying channel subfamily J member 5
80231	3.54e-25	3.32e-27	0.83	10.803215	8.962824	59.08	TASL	TLR adaptor interacting with endolysosomal SLC15A4
146395	3.76e-25	3.55e-27	0.676	10.797219	7.301387	116.06	GSG1L	GSG1 like
105375532	4.71e-25	4.46e-27	0.563	10.776213	6.071144	71.79	LOC105375532	uncharacterized LOC105375532
201501	4.73e-25	4.50e-27	0.495	10.775279	5.334796	179.2	ZBTB7C	zinc finger and BTB domain containing 7C
105378214	5.91e-25	5.64e-27	0.842	10.754539	9.058103	169.82	LOC105378214	uncharacterized LOC105378214
